5
2
4
7
3
1
2
2
4
2
3
4
5
4
3
6
2
4
2
4
4
5
4
2
1
4
3
3
3
갖/VV	2	갖다	VV
끌/VV	3	끌다	VV
끌/VV	3	끌다	VV
대하/VV	3	대하다	VV
대하/VV	3	대하다	VV
되/VV	1	되다	VV
되/VV	1	되다	VV
되/VV	1	되다	VV
되/VV	1	되다	VV
되/VV	1	되다	VV
되/VV	1	되다	VV
되/VV	1	되다	VV
되/VV	1	되다	VV
만들/VV	1	만들다	VV
만들/VV	1	만들다	VV
만들/VV	1	만들다	VV
먹/VV	1	먹다	VV
바꾸/VV	1	바꾸다	VV
바뀌/VV	2	바뀌다	VV
받/VV	1	받다	VV
보/VV	1	보다	VV
보/VV	1	보다	VV
생겨나/VV	4	생겨나다	VV
얻/VV	2	얻다	VV
얻/VV	2	얻다	VV
얻/VV	2	얻다	VV
원하/VV	2	원하다	VV
위하/VV	3	위하다	VV
위하/VV	3	위하다	VV
이어지/VV	4	이어지다	VV
잘못되/VV	2	잘못되다	VV
잘못되/VV	2	잘못되다	VV
접하/VV	4	접하다	VV
주고받/VV	3	주고받다	VV
주/VV	1	주다	VV
지키/VV	2	지키다	VV
통하/VV	3	통하다	VV
통하/VV	3	통하다	VV
하/VV	1	하다	VV
하/VV	1	하다	VV
많/VA	1	많다	VA
많/VA	1	많다	VA
많/VA	1	많다	VA
많/VA	1	많다	VA
많/VA	1	많다	VA
멀/VA	1	멀다	VA
명확하/VA	4	명확하다	VA
비싸/VA	1	비싸다	VA
쉽/VA	1	쉽다	VA
없/VA	1	없다	VA
없/VA	1	없다	VA
올바르/VA	3	올바르다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
있/VA	1	있다	VA
좋/VA	1	좋다	VA
크/VA	1	크다	VA
크/VA	1	크다	VA
특별하/VA	1	특별하다	VA
개인/NNG	3	개인	NNG
게임/NNG	1	게임	NNG
결과/NNG	2	결과	NNG
경우/NNG	3	경우	NNG
경쟁/NNG	4	경쟁	NNG
관심/NNG	2	관심	NNG
글/NNG	1	글	NNG
남녀노소/NNG	5	남녀노소	NNG
내용/NNG	2	내용	NNG
내용/NNG	2	내용	NNG
대중화/NNG	5	대중화	NNG
대화/NNG	1	대화	NNG
도구/NNG	3	도구	NNG
도덕적/NNG	6	도덕적	NNG
도덕적/NNG	6	도덕적	NNG
돈/NNG	1	돈	NNG
동시/NNG	2	동시	NNG
문제/NNG	2	문제	NNG
문제/NNG	2	문제	NNG
문제/NNG	2	문제	NNG
문제/NNG	2	문제	NNG
문제/NNG	2	문제	NNG
문화/NNG	1	문화	NNG
미디어/NNG	4	미디어	NNG
방/NNG	1	방	NNG
방법/NNG	2	방법	NNG
방법/NNG	2	방법	NNG
방송/NNG	2	방송	NNG
